split,stem,audio_path,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime
train,dia1_utt5,data/audio/train/dia1_utt5.flac,"All right, well...",Joey,neutral,neutral,1,5,9,23,"00:36:53,545","00:36:55,000"
train,dia1_utt8,data/audio/train/dia1_utt8.flac,"Yeah, sure!",Rachel,neutral,neutral,1,8,9,23,"0:36:59,425","0:37:01,439"
train,dia2_utt0,data/audio/train/dia2_utt0.flac,"Hey, Mon.",Chandler,neutral,neutral,2,0,3,6,"00:05:50,350","00:05:51,433"
train,dia2_utt1,data/audio/train/dia2_utt1.flac,Hey-hey-hey. You wanna hear something that sucks.,Monica,neutral,neutral,2,1,3,6,"0:05:52,435","0:05:53,897"
train,dia2_utt2,data/audio/train/dia2_utt2.flac,Do I ever.,Chandler,joy,positive,2,2,3,6,"0:05:53,897","0:05:55,743"
train,dia2_utt3,data/audio/train/dia2_utt3.flac,Chris says they’re closing down the bar.,Monica,sadness,negative,2,3,3,6,"0:05:57,023","0:05:58,734"
train,dia2_utt4,data/audio/train/dia2_utt4.flac,No way!,Chandler,surprise,negative,2,4,3,6,"0:05:58,734","0:05:59,774"
train,dia2_utt5,data/audio/train/dia2_utt5.flac,"Yeah, apparently they’re turning it into some kinda coffee place.",Monica,neutral,neutral,2,5,3,6,"00:05:59,942","00:06:02,152"
train,dia2_utt6,data/audio/train/dia2_utt6.flac,Just coffee! Where are we gonna hang out now?,Chandler,disgust,negative,2,6,3,6,"00:06:02,362","00:06:07,157"
train,dia2_utt7,data/audio/train/dia2_utt7.flac,Got me.,Monica,sadness,negative,2,7,3,6,"00:06:04,489","00:06:07,157"
train,dia2_utt8,data/audio/train/dia2_utt8.flac,Can I get a beer.,Chandler,neutral,neutral,2,8,3,6,"0:06:07,367","0:06:08,035"
train,dia2_utt9,data/audio/train/dia2_utt9.flac,"Hey, did you pick a roommate?",Monica,neutral,neutral,2,9,3,6,"0:06:08,035","0:06:10,019"
train,dia2_utt10,data/audio/train/dia2_utt10.flac,You betcha!,Chandler,joy,positive,2,10,3,6,"0:06:10,161","0:06:10,973"
train,dia2_utt11,data/audio/train/dia2_utt11.flac,Is it the Italian guy?,Monica,neutral,neutral,2,11,3,6,"0:06:10,973","0:06:12,167"
train,dia2_utt12,data/audio/train/dia2_utt12.flac,"Um-mm, yeah right!",Chandler,joy,positive,2,12,3,6,"00:06:12,288","00:06:13,497"
train,dia3_utt0,data/audio/train/dia3_utt0.flac,"Oh my God, oh my God! Poor Monica!",Phoebe,surprise,negative,3,0,3,12,"00:10:16,115","00:10:18,450"
train,dia3_utt1,data/audio/train/dia3_utt1.flac,"What, what, what?!",Chandler,surprise,negative,3,1,3,12,"0:10:18,618","0:10:19,750"
train,dia3_utt2,data/audio/train/dia3_utt2.flac,What?!,Phoebe,surprise,negative,3,2,3,12,"0:10:19,750","0:10:20,966"
train,dia3_utt3,data/audio/train/dia3_utt3.flac,He was with her when he wrote this poem.,Phoebe,neutral,neutral,3,3,3,12,"00:10:21,078","00:10:23,496"
train,dia3_utt4,data/audio/train/dia3_utt4.flac,"Look,  'My vessel so empty with nothing inside.",Phoebe,neutral,neutral,3,4,3,12,"00:10:23,664","00:10:26,499"
train,dia3_utt5,data/audio/train/dia3_utt5.flac,"Now that I've touched you, you seem emptier still.'",Phoebe,neutral,neutral,3,5,3,12,"00:10:26,667","00:10:29,586"
train,dia3_utt6,data/audio/train/dia3_utt6.flac,"He thinks Monica is empty, she is the empty vase!",Phoebe,surprise,negative,3,6,3,12,"00:10:29,754","00:10:32,672"
train,dia3_utt8,data/audio/train/dia3_utt8.flac,"Oh, totally. Oh, God, oh, she seemed so happy too.",Phoebe,sadness,negative,3,8,3,12,"00:10:36,385","00:10:39,137"
train,dia3_utt9,data/audio/train/dia3_utt9.flac,Done.,Joey,neutral,neutral,3,9,3,12,"00:10:39,680","00:10:41,181"
train,dia4_utt0,data/audio/train/dia4_utt0.flac,Hey!,Rachel,surprise,positive,4,0,3,11,"0:20:23,931","0:20:24,891"
train,dia4_utt1,data/audio/train/dia4_utt1.flac,Hi!,Ross,joy,positive,4,1,3,11,"0:20:24,891","0:20:25,028"
train,dia4_utt2,data/audio/train/dia4_utt2.flac,What are you doing here?,Rachel,surprise,positive,4,2,3,11,"00:20:25,140","00:20:26,265"
train,dia4_utt3,data/audio/train/dia4_utt3.flac,"Ah y'know, this building is on my paper route so I...",Ross,neutral,neutral,4,3,3,11,"00:20:26,433","00:20:29,185"
train,dia4_utt4,data/audio/train/dia4_utt4.flac,Oh.,Rachel,neutral,neutral,4,4,3,11,"0:20:29,394","0:20:30,771"
train,dia4_utt5,data/audio/train/dia4_utt5.flac,Hi.,Ross,neutral,neutral,4,5,3,11,"0:20:30,771","0:20:30,873"
train,dia4_utt6,data/audio/train/dia4_utt6.flac,Hi.,Rachel,neutral,neutral,4,6,3,11,"0:20:30,873","0:20:31,135"
train,dia4_utt7,data/audio/train/dia4_utt7.flac,How’d did it go?,Ross,neutral,neutral,4,7,3,11,"00:20:31,188","00:20:32,230"
train,dia4_utt8,data/audio/train/dia4_utt8.flac,"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn’t shut up.",Rachel,joy,positive,4,8,3,11,"00:20:32,397","00:20:40,446"
train,dia4_utt9,data/audio/train/dia4_utt9.flac,I’m so proud of you.,Ross,joy,positive,4,9,3,11,"0:20:40,614","0:20:41,991"
train,dia4_utt10,data/audio/train/dia4_utt10.flac,Me too!,Rachel,joy,positive,4,10,3,11,"0:20:41,991","0:20:43,543"
train,dia4_utt11,data/audio/train/dia4_utt11.flac,"Listen, I’m ah, I’m sorry I’ve been so crazy and jealous and, it’s just that I like you a lot, so...",Ross,sadness,negative,4,11,3,11,"00:20:44,284","00:20:53,584"
train,dia4_utt12,data/audio/train/dia4_utt12.flac,I know.,Rachel,neutral,neutral,4,12,3,11,"00:20:53,752","00:20:54,794"
train,dia4_utt13,data/audio/train/dia4_utt13.flac,Yeah.,Ross,neutral,neutral,4,13,3,11,"0:20:54,962","0:20:55,380"
train,dia4_utt14,data/audio/train/dia4_utt14.flac,Yeah.,Rachel,neutral,neutral,4,14,3,11,"0:20:55,380","0:20:56,057"
train,dia5_utt0,data/audio/train/dia5_utt0.flac,Ameri-can.,Phoebe,neutral,neutral,5,0,3,15,"0:22:18,545","0:22:20,297"
train,dia5_utt1,data/audio/train/dia5_utt1.flac,Ameri-ccan.,Joey,neutral,neutral,5,1,3,15,"0:22:20,297","0:22:20,476"
train,dia5_utt2,data/audio/train/dia5_utt2.flac,Ameri-can. Y'know it’s a,Phoebe,neutral,neutral,5,2,3,15,"00:22:20,589","00:22:23,507"
train,dia5_utt3,data/audio/train/dia5_utt3.flac,Everybody!!,Sergei,surprise,positive,5,3,3,15,"00:22:25,844","00:22:28,679"
train,dia6_utt0,data/audio/train/dia6_utt0.flac,Good job Joe! Well done! Top notch!,Chandler,joy,positive,6,0,8,22,"00:12:24,315","00:12:27,526"
train,dia6_utt1,data/audio/train/dia6_utt1.flac,You liked it? You really liked it?,Joey,surprise,positive,6,1,8,22,"0:12:28,194","0:12:29,796"
train,dia6_utt2,data/audio/train/dia6_utt2.flac,"Oh-ho-ho, yeah!",Chandler,joy,positive,6,2,8,22,"0:12:29,796","0:12:31,501"
train,dia6_utt3,data/audio/train/dia6_utt3.flac,Which part exactly?,Joey,neutral,neutral,6,3,8,22,"0:12:31,655","0:12:33,657"
train,dia6_utt4,data/audio/train/dia6_utt4.flac,The whole thing! Can we go?,Chandler,neutral,neutral,6,4,8,22,"0:12:33,657","0:12:36,243"
train,dia6_utt5,data/audio/train/dia6_utt5.flac,"Oh no-no-no, give me some specifics.",Joey,anger,negative,6,5,8,22,"00:12:36,368","00:12:38,746"
train,dia6_utt6,data/audio/train/dia6_utt6.flac,"I love the specifics, the specifics were the best part!",Chandler,joy,positive,6,6,8,22,"00:12:38,954","00:12:43,000"
train,dia6_utt7,data/audio/train/dia6_utt7.flac,"Hey, what about the scene with the kangaroo? Did-did you like that part?",Joey,neutral,neutral,6,7,8,22,"00:12:43,209","00:12:48,255"
train,dia6_utt8,data/audio/train/dia6_utt8.flac,I was surprised to see a kangaroo in a World War I epic.,Chandler,surprise,negative,6,8,8,22,"00:12:49,298","00:12:54,929"
train,dia6_utt9,data/audio/train/dia6_utt9.flac,You fell asleep!!,Joey,anger,negative,6,9,8,22,"00:12:55,930","00:12:56,931"
train,dia6_utt10,data/audio/train/dia6_utt10.flac,There was no kangaroo!,Joey,anger,negative,6,10,8,22,"0:12:58,432","0:12:59,809"
train,dia6_utt11,data/audio/train/dia6_utt11.flac,They didn’t take any of my suggestions!,Joey,anger,negative,6,11,8,22,"0:12:59,809","0:13:03,196"
train,dia6_utt12,data/audio/train/dia6_utt12.flac,That’s for coming buddy.,Joey,neutral,neutral,6,12,8,22,"0:13:05,940","0:13:07,242"
train,dia6_utt13,data/audio/train/dia6_utt13.flac,I’ll see you later.,Joey,neutral,neutral,6,13,8,22,"0:13:07,242","0:13:08,202"
train,dia6_utt14,data/audio/train/dia6_utt14.flac,Don’t go!,Chandler,sadness,negative,6,14,8,22,"0:13:08,202","0:13:08,804"
train,dia6_utt15,data/audio/train/dia6_utt15.flac,I’m sorry.,Chandler,sadness,negative,6,15,8,22,"0:13:08,804","0:13:09,526"
train,dia6_utt16,data/audio/train/dia6_utt16.flac,I’m so sorry!,Chandler,sadness,negative,6,16,8,22,"0:13:09,526","0:13:10,832"
train,dia6_utt17,data/audio/train/dia6_utt17.flac,Look!,Chandler,surprise,negative,6,17,8,22,"0:13:10,945","0:13:11,407"
train,dia6_utt18,data/audio/train/dia6_utt18.flac,This guy fell asleep!,Chandler,anger,negative,6,18,8,22,"0:13:11,407","0:13:12,589"
train,dia6_utt19,data/audio/train/dia6_utt19.flac,He fell asleep too!,Chandler,anger,negative,6,19,8,22,"0:13:12,589","0:13:13,215"
train,dia6_utt20,data/audio/train/dia6_utt20.flac,Be mad at him!,Chandler,anger,negative,6,20,8,22,"0:13:13,215","0:13:14,108"
train,dia6_utt21,data/audio/train/dia6_utt21.flac,"Or, call an ambulance.",Chandler,anger,negative,6,21,8,22,"00:13:16,367","00:13:18,244"
train,dia7_utt0,data/audio/train/dia7_utt0.flac,"Okay, look, I think we have to tell Rachel she messed up her dessert.",Joey,neutral,neutral,7,0,6,9,"00:12:51,020","00:12:53,897"
train,dia7_utt1,data/audio/train/dia7_utt1.flac,"What?! What is with everybody? It’s Thanksgiving, not...Truth-Day!",Ross,anger,negative,7,1,6,9,"00:12:54,106","00:12:58,193"
train,dia8_utt0,data/audio/train/dia8_utt0.flac,"Yes, and it is my dying wish to have that ring.",Phoebe,neutral,neutral,8,0,6,23,"00:19:17,865","00:19:21,951"
train,dia8_utt1,data/audio/train/dia8_utt1.flac,"See, if I’m not buried with that ring then my spirit is going to wander the nether world for all eternity",Phoebe,neutral,neutral,8,1,6,23,"00:19:17,865","00:19:25,204"
train,dia8_utt2,data/audio/train/dia8_utt2.flac,"Okay, that’s enough honey!",Chandler,neutral,neutral,8,2,6,23,"00:19:25,372","00:19:26,706"
train,dia8_utt3,data/audio/train/dia8_utt3.flac,I don’t know.  Let me see the ring.,Customer,neutral,neutral,8,3,6,23,"00:19:28,375","00:19:34,964"
train,dia8_utt4,data/audio/train/dia8_utt4.flac,"Great! Okay, here.",Chandler,joy,positive,8,4,6,23,"00:19:32,129","00:19:34,964"
train,dia8_utt5,data/audio/train/dia8_utt5.flac,All right.,Customer,neutral,neutral,8,5,6,23,"0:19:37,342","0:19:39,934"
train,dia8_utt6,data/audio/train/dia8_utt6.flac,Thank you. Thank you. Thank you!  And,Chandler,joy,positive,8,6,6,23,"0:19:39,934","0:19:40,074"
train,dia9_utt0,data/audio/train/dia9_utt0.flac,What've you been up to?,Chandler,neutral,neutral,9,0,2,5,"00:01:51,903","00:01:54,738"
train,dia9_utt1,data/audio/train/dia9_utt1.flac,"Oh, you know, the usual, teaching aerobics, partying way too much.",Jade,neutral,neutral,9,1,2,5,"00:01:54,948","00:02:01,203"
train,dia9_utt2,data/audio/train/dia9_utt2.flac,"Oh, and in case you were wondering, those are my legs on the new James Bond poster.",Jade,neutral,neutral,9,2,2,5,"00:02:01,621","00:02:07,459"
train,dia9_utt3,data/audio/train/dia9_utt3.flac,Can you hold on a moment? I have another call.  I love her.,Chandler,joy,positive,9,3,2,5,"00:02:10,547","00:02:14,758"
train,dia9_utt4,data/audio/train/dia9_utt4.flac,I know.,Ross,neutral,neutral,9,4,2,5,"00:02:13,091","00:02:14,758"
train,dia9_utt5,data/audio/train/dia9_utt5.flac,I'm back.,Chandler,neutral,neutral,9,5,2,5,"0:02:16,261","0:02:16,903"
train,dia9_utt6,data/audio/train/dia9_utt6.flac,"So, are we gonna get together or what?",Jade,neutral,neutral,9,6,2,5,"0:02:16,903","0:02:19,185"
train,dia9_utt7,data/audio/train/dia9_utt7.flac,"Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?",Chandler,neutral,neutral,9,7,2,5,"00:02:19,347","00:02:25,561"
train,dia9_utt8,data/audio/train/dia9_utt8.flac,"Great, I'll see you then.",Jade,neutral,neutral,9,8,2,5,"00:02:25,770","00:02:28,647"
train,dia9_utt9,data/audio/train/dia9_utt9.flac,Ok.  Ok. Having a phone has finally paid off.,Chandler,joy,positive,9,9,2,5,"00:02:32,318","00:02:34,528"
train,dia9_utt10,data/audio/train/dia9_utt10.flac,"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob.""",Ross,neutral,neutral,9,10,2,5,"00:02:36,823","00:02:43,620"
train,dia9_utt11,data/audio/train/dia9_utt11.flac,"I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.",Chandler,neutral,neutral,9,11,2,5,"00:02:47,375","00:02:52,337"
train,dia9_utt12,data/audio/train/dia9_utt12.flac,Oh my god. You are pure evil.,Ross,disgust,negative,9,12,2,5,"00:02:52,547","00:02:55,299"
train,dia9_utt13,data/audio/train/dia9_utt13.flac,"Ok, pure evil , horny and alone . I've done this",Chandler,anger,negative,9,13,2,5,"00:02:56,634","00:03:05,058"
train,dia10_utt0,data/audio/train/dia10_utt0.flac,Nobody!,Phoebe,anger,negative,10,0,5,10,"0:11:57,091","0:11:58,551"
train,dia10_utt1,data/audio/train/dia10_utt1.flac,Nobody respects the bucket!,Phoebe,anger,negative,10,1,5,10,"0:11:58,551","0:11:59,947"
train,dia10_utt2,data/audio/train/dia10_utt2.flac,You wouldn't believe what people put in here!,Phoebe,anger,negative,10,2,5,10,"00:12:00,553","00:12:02,721"
train,dia10_utt3,data/audio/train/dia10_utt3.flac,Look!,Phoebe,anger,negative,10,3,5,10,"00:12:02,888","00:12:04,597"
train,dia10_utt4,data/audio/train/dia10_utt4.flac,"Okay, does this look like a garbage can to you?",Phoebe,anger,negative,10,4,5,10,"00:12:02,888","00:12:07,016"
train,dia10_utt5,data/audio/train/dia10_utt5.flac,No.,Monica,neutral,neutral,10,5,5,10,"00:12:04,765","00:12:07,016"
train,dia11_utt0,data/audio/train/dia11_utt0.flac,This is my wedding.,Ross,neutral,neutral,11,0,4,23,"00:03:10,815","00:03:12,024"
train,dia11_utt1,data/audio/train/dia11_utt1.flac,"All right, y’know what? We really are late! Let’s go! Let’s go! Let’s go!!",Monica,anger,negative,11,1,4,23,"00:03:13,318","00:03:16,737"
train,dia11_utt2,data/audio/train/dia11_utt2.flac,Fine. You’ll-you’ll watch it on video when we get back.,Ross,neutral,neutral,11,2,4,23,"00:03:18,781","00:03:21,491"
train,dia11_utt3,data/audio/train/dia11_utt3.flac,Here you go Phoebe! Here you go Phobo! Phewbedo! Phaybobo.,Chandler,joy,positive,11,3,4,23,"00:03:22,869","00:03:25,704"
train,dia11_utt4,data/audio/train/dia11_utt4.flac,Thank you.,Phoebe,neutral,neutral,11,4,4,23,"0:03:27,790","0:03:28,791"
train,dia11_utt5,data/audio/train/dia11_utt5.flac,Thank you.,Phoebe,neutral,neutral,11,5,4,23,"0:03:28,791","0:03:28,931"
train,dia11_utt6,data/audio/train/dia11_utt6.flac,"All right, let’s go! Bye, Pheebs!",Ross,joy,positive,11,6,4,23,"00:03:32,503","00:03:34,463"
train,dia11_utt7,data/audio/train/dia11_utt7.flac,"Bye, Pheebs!",Joey,joy,positive,11,7,4,23,"00:03:34,631","00:03:36,340"
train,dia11_utt8,data/audio/train/dia11_utt8.flac,London baby!!,Joey,joy,positive,11,8,4,23,"00:03:40,803","00:03:42,554"
train,dia11_utt9,data/audio/train/dia11_utt9.flac,"Oh, do you need a hug? You don’t have to bring me anything!",Phoebe,joy,positive,11,9,4,23,"00:03:44,849","00:03:51,563"
train,dia12_utt0,data/audio/train/dia12_utt0.flac,Hey!,Chandler,neutral,neutral,12,0,6,4,"00:09:47,295","00:09:49,045"
train,dia12_utt1,data/audio/train/dia12_utt1.flac,Hey! So Estelle lined up a bunch of auditions for me tomorrow and I’ll have my health insurance back in no time.,Joey,joy,positive,12,1,6,4,"00:09:47,295","00:09:56,177"
train,dia12_utt2,data/audio/train/dia12_utt2.flac,"That’s great, but shouldn’t you be on the toilet right now?",Chandler,disgust,negative,12,2,6,4,"00:09:57,346","00:10:00,890"
train,dia12_utt3,data/audio/train/dia12_utt3.flac,What?!,Joey,surprise,negative,12,3,6,4,"0:10:04,312","0:10:05,647"
train,dia12_utt4,data/audio/train/dia12_utt4.flac,What’s wrong with you?,Chandler,disgust,negative,12,4,6,4,"0:10:05,647","0:10:06,929"
train,dia12_utt5,data/audio/train/dia12_utt5.flac,Nothing!,Joey,neutral,neutral,12,5,6,4,"00:10:07,023","00:10:08,023"
train,dia12_utt6,data/audio/train/dia12_utt6.flac,"Well, I-I got this blinding pain in my stomach when I was lifting weights before, then I uh passed out and uh, haven’t been able to stand up since.",Joey,fear,negative,12,6,6,4,"00:10:08,190","00:10:18,575"
train,dia12_utt7,data/audio/train/dia12_utt7.flac,"But um, I don’t think it’s anything serious.",Joey,neutral,neutral,12,7,6,4,"00:10:18,743","00:10:21,536"
train,dia12_utt8,data/audio/train/dia12_utt8.flac,This sounds like a hernia. You have to—you-you go to the doctor!,Chandler,surprise,negative,12,8,6,4,"00:10:21,704","00:10:24,706"
train,dia12_utt9,data/audio/train/dia12_utt9.flac,"No way! ‘Kay look, if I have to go to the doctor for anything it’s gonna be for this thing sticking out of my stomach!",Joey,fear,negative,12,9,6,4,"00:10:24,874","00:10:31,463"
train,dia12_utt10,data/audio/train/dia12_utt10.flac,That’s a hernia.,Chandler,disgust,negative,12,10,6,4,"00:10:34,842","00:10:36,009"
train,dia12_utt11,data/audio/train/dia12_utt11.flac,Why did I have to start working out again?  Damn you 15s!,Joey,anger,negative,12,11,6,4,"00:10:36,177","00:10:41,556"
train,dia13_utt0,data/audio/train/dia13_utt0.flac,I love your place! Where is this guy from?,Mona,joy,positive,13,0,8,8,"00:10:36,844","00:10:40,930"
train,dia13_utt1,data/audio/train/dia13_utt1.flac,Uh that’s an eighteenth century Indian artifact from Calcutta.,Ross,neutral,neutral,13,1,8,8,"00:10:41,098","00:10:50,899"
train,dia13_utt2,data/audio/train/dia13_utt2.flac,"Oh wow! So, you’re more than just dinosaurs.",Mona,surprise,positive,13,2,8,8,"00:10:44,894","00:10:50,899"
train,dia13_utt3,data/audio/train/dia13_utt3.flac,So much more.,Ross,neutral,neutral,13,3,8,8,"00:10:51,567","00:10:53,485"
train,dia14_utt0,data/audio/train/dia14_utt0.flac,"Well, well to sum up, we’re having fun, you look young.",Ross,neutral,neutral,14,0,8,11,"00:13:42,112","00:13:53,456"
train,dia14_utt1,data/audio/train/dia14_utt1.flac,Okay,Mona,neutral,neutral,14,1,8,11,"00:13:57,253","00:14:00,171"
train,dia14_utt2,data/audio/train/dia14_utt2.flac,But that’s not enough. So… So…here’s a key to my apartment.,Ross,neutral,neutral,14,2,8,11,"00:13:57,253","00:14:06,135"
train,dia14_utt3,data/audio/train/dia14_utt3.flac,Really?!,Mona,surprise,positive,14,3,8,11,"0:14:12,184","0:14:14,986"
train,dia14_utt4,data/audio/train/dia14_utt4.flac,Really.,Ross,neutral,neutral,14,4,8,11,"0:14:14,986","0:14:15,320"
train,dia14_utt5,data/audio/train/dia14_utt5.flac,You don’t think this is too fast.,Mona,neutral,neutral,14,5,8,11,"00:14:16,897","00:14:20,316"
train,dia15_utt0,data/audio/train/dia15_utt0.flac,Get Out!,Ross,anger,negative,15,0,9,23,"00:42:09,652","00:42:13,488"
train,dia15_utt1,data/audio/train/dia15_utt1.flac,"Ross, can I talk to you for a minute?",Charlie,neutral,neutral,15,1,9,23,"00:42:15,032","00:42:16,908"
train,dia15_utt2,data/audio/train/dia15_utt2.flac,"Yes, please!  So, what's going on?",Ross,neutral,neutral,15,2,9,23,"00:42:17,117","00:42:23,998"
train,dia15_utt3,data/audio/train/dia15_utt3.flac,"Uh, well... Joey and I broke up.",Charlie,sadness,negative,15,3,9,23,"00:42:26,126","00:42:29,754"
train,dia15_utt4,data/audio/train/dia15_utt4.flac,"Oh my God, wh-what happened?",Ross,surprise,negative,15,4,9,23,"00:42:30,464","00:42:35,885"
train,dia15_utt5,data/audio/train/dia15_utt5.flac,"Joey is a great guy, but we're just... so different! I mean, during your speech he kept laughing at homo erectus!",Charlie,sadness,negative,15,5,9,23,"00:42:36,053","00:42:44,561"
train,dia15_utt6,data/audio/train/dia15_utt6.flac,I knew that was him!,Ross,anger,negative,15,6,9,23,"00:42:42,059","00:42:44,561"
train,dia15_utt7,data/audio/train/dia15_utt7.flac,"Anyway I just, uh, I think it's for the best.",Charlie,sadness,negative,15,7,9,23,"00:42:46,313","00:42:50,108"
train,dia15_utt8,data/audio/train/dia15_utt8.flac,"Hey, you ok?",Ross,neutral,neutral,15,8,9,23,"0:42:51,068","0:42:52,950"
train,dia15_utt9,data/audio/train/dia15_utt9.flac,I guess.,Charlie,sadness,negative,15,9,9,23,"0:42:52,950","0:42:55,208"
train,dia15_utt10,data/audio/train/dia15_utt10.flac,There was hum...  there was another reason that I thought it was time to end it with Joey.,Charlie,neutral,neutral,15,10,9,23,"00:42:57,866","00:43:05,915"
train,dia15_utt11,data/audio/train/dia15_utt11.flac,I started to realize that I was having feelings for someone  else.,Charlie,neutral,neutral,15,11,9,23,"00:43:06,667","00:43:12,547"
train,dia15_utt12,data/audio/train/dia15_utt12.flac,"Ok Geller. Last day of the conference, you know what happens to the keynote speaker.",Paleontologist,neutral,neutral,15,12,9,23,"00:43:14,174","00:43:19,220"
train,dia15_utt13,data/audio/train/dia15_utt13.flac,"Oh, professor Clerk we're kind of in the middle of a conversation, here.",Ross,neutral,neutral,15,13,9,23,"00:43:19,388","00:43:22,765"
train,dia15_utt14,data/audio/train/dia15_utt14.flac,"Yeah, can you guys just throw him in the pool later?",Charlie,neutral,neutral,15,14,9,23,"0:43:22,933","0:43:24,905"
train,dia15_utt15,data/audio/train/dia15_utt15.flac,Or we could throw you both in,Professore Clerk,joy,positive,15,15,9,23,"0:43:24,905","0:43:27,073"
train,dia15_utt16,data/audio/train/dia15_utt16.flac,"Ok, gentlemen!",Ross,anger,negative,15,16,9,23,"0:43:27,187","0:43:28,147"
train,dia15_utt17,data/audio/train/dia15_utt17.flac,Please!,Ross,anger,negative,15,17,9,23,"0:43:28,147","0:43:28,699"
train,dia15_utt18,data/audio/train/dia15_utt18.flac,Aren't we a little old for this?,Ross,anger,negative,15,18,9,23,"0:43:28,699","0:43:30,985"
train,dia15_utt19,data/audio/train/dia15_utt19.flac,"I mean, we're scientists, right?",Ross,neutral,neutral,15,19,9,23,"0:43:31,066","0:43:32,788"
train,dia15_utt20,data/audio/train/dia15_utt20.flac,We're academics.,Ross,anger,negative,15,20,9,23,"0:43:32,788","0:43:33,798"
train,dia15_utt21,data/audio/train/dia15_utt21.flac,And most importantly I... you-you will have to catch us first.,Ross,joy,positive,15,21,9,23,"00:43:33,902","00:43:37,780"
train,dia15_utt22,data/audio/train/dia15_utt22.flac,"GO, GO, GO!",Ross,joy,positive,15,22,9,23,"00:43:37,948","00:43:40,366"
train,dia16_utt0,data/audio/train/dia16_utt0.flac,"Go, go, go!",Ross,joy,positive,16,0,3,25,"00:04:41,197","00:04:42,239"
