stem,split,Emotion
dia20_utt1,train,joy
dia20_utt2,train,joy
dia20_utt3,train,joy
dia20_utt4,train,joy
dia20_utt5,train,joy
dia20_utt6,train,joy
dia20_utt7,train,joy
dia20_utt8,train,neutral
dia20_utt9,train,neutral
dia20_utt10,train,neutral
dia20_utt11,train,neutral
dia20_utt12,train,joy
dia20_utt13,train,joy
dia20_utt14,train,joy
dia20_utt15,train,surprise
dia20_utt16,train,neutral
dia21_utt0,train,surprise
dia21_utt1,train,neutral
dia21_utt2,train,joy
dia21_utt3,train,surprise
dia21_utt4,train,neutral
dia21_utt5,train,surprise
dia21_utt6,train,anger
dia21_utt7,train,neutral
dia21_utt8,train,disgust
dia21_utt9,train,neutral
dia21_utt10,train,neutral
dia21_utt11,train,disgust
dia21_utt12,train,neutral
dia21_utt13,train,joy
dia22_utt0,train,disgust
dia22_utt1,train,neutral
dia22_utt2,train,surprise
dia22_utt3,train,neutral
dia23_utt0,train,surprise
dia23_utt1,train,anger
dia23_utt2,train,surprise
dia23_utt3,train,joy
dia23_utt4,train,neutral
dia23_utt5,train,neutral
dia23_utt6,train,neutral
dia23_utt7,train,neutral
dia23_utt8,train,surprise
dia24_utt0,train,neutral
dia24_utt1,train,neutral
dia24_utt2,train,neutral
dia24_utt3,train,joy
dia24_utt4,train,surprise
dia24_utt5,train,neutral
dia24_utt6,train,neutral
dia24_utt7,train,joy
dia24_utt8,train,fear
dia25_utt0,train,joy
dia25_utt1,train,joy
dia25_utt2,train,joy
dia25_utt3,train,joy
dia25_utt4,train,neutral
dia25_utt5,train,neutral
dia25_utt6,train,neutral
dia25_utt7,train,neutral
dia25_utt8,train,neutral
dia25_utt9,train,neutral
dia25_utt10,train,neutral
dia25_utt11,train,surprise
dia25_utt12,train,neutral
dia25_utt13,train,neutral
dia26_utt0,train,surprise
dia26_utt1,train,neutral
dia26_utt2,train,surprise
dia26_utt3,train,neutral
dia26_utt4,train,neutral
dia26_utt5,train,joy
dia26_utt6,train,joy
dia26_utt7,train,joy
dia26_utt8,train,neutral
dia26_utt9,train,neutral
dia26_utt10,train,neutral
dia26_utt11,train,sadness
dia26_utt12,train,neutral
dia26_utt13,train,neutral
dia27_utt0,train,sadness
dia27_utt1,train,joy
dia28_utt0,train,anger
dia28_utt1,train,anger
dia28_utt2,train,anger
dia28_utt3,train,joy
dia28_utt4,train,fear
dia28_utt5,train,joy
dia28_utt6,train,fear
dia28_utt7,train,sadness
dia29_utt0,train,surprise
dia29_utt1,train,joy
dia29_utt2,train,neutral
dia29_utt3,train,joy
dia29_utt4,train,surprise
dia29_utt6,train,anger
dia29_utt7,train,anger
dia29_utt8,train,anger
dia29_utt9,train,neutral
dia29_utt10,train,anger
dia29_utt11,train,anger
dia29_utt12,train,surprise
dia29_utt13,train,neutral
dia30_utt0,train,neutral
dia30_utt1,train,joy
dia30_utt2,train,neutral
dia30_utt3,train,neutral
dia30_utt4,train,anger
dia30_utt5,train,surprise
dia30_utt6,train,anger
dia30_utt7,train,fear
dia30_utt8,train,neutral
dia30_utt9,train,neutral
dia30_utt10,train,neutral
dia30_utt11,train,fear
dia30_utt12,train,neutral
dia30_utt13,train,neutral
dia30_utt14,train,anger
dia30_utt15,train,surprise
dia31_utt0,train,neutral
dia31_utt1,train,neutral
dia31_utt2,train,neutral
dia31_utt3,train,neutral
dia32_utt0,train,surprise
dia32_utt1,train,neutral
dia32_utt2,train,surprise
dia32_utt3,train,neutral
dia32_utt4,train,surprise
dia32_utt5,train,neutral
dia32_utt6,train,surprise
dia32_utt7,train,surprise
dia32_utt8,train,neutral
dia32_utt9,train,surprise
dia32_utt10,train,joy
dia32_utt11,train,joy
dia32_utt12,train,anger
dia32_utt13,train,anger
dia32_utt14,train,anger
dia32_utt15,train,neutral
dia32_utt16,train,neutral
dia32_utt17,train,fear
dia32_utt18,train,neutral
dia33_utt0,train,fear
dia33_utt1,train,joy
dia33_utt2,train,neutral
dia33_utt3,train,neutral
dia33_utt4,train,surprise
dia33_utt5,train,neutral
dia33_utt6,train,neutral
dia33_utt7,train,neutral
dia33_utt8,train,joy
dia33_utt9,train,joy
dia33_utt10,train,neutral
dia34_utt0,train,neutral
dia34_utt1,train,neutral
dia34_utt2,train,neutral
dia34_utt3,train,joy
dia34_utt4,train,neutral
dia34_utt5,train,neutral
dia34_utt6,train,neutral
dia34_utt7,train,neutral
dia34_utt8,train,neutral
dia34_utt9,train,surprise
dia34_utt10,train,neutral
dia34_utt11,train,neutral
dia34_utt12,train,neutral
dia34_utt13,train,disgust
dia35_utt0,train,surprise
dia35_utt1,train,joy
dia35_utt2,train,joy
dia35_utt3,train,joy
dia35_utt4,train,joy
dia35_utt5,train,joy
dia36_utt0,train,neutral
dia36_utt1,train,neutral
dia36_utt2,train,neutral
dia36_utt3,train,neutral
dia36_utt4,train,sadness
dia36_utt5,train,sadness
dia37_utt0,train,neutral
dia37_utt1,train,joy
dia37_utt2,train,joy
dia37_utt3,train,disgust
dia38_utt0,train,anger
dia38_utt1,train,neutral
dia38_utt2,train,joy
dia38_utt3,train,neutral
dia38_utt4,train,surprise
dia38_utt5,train,neutral
dia38_utt6,train,anger
dia38_utt7,train,surprise
dia38_utt8,train,surprise
dia38_utt9,train,surprise
dia38_utt10,train,surprise
dia38_utt11,train,surprise
dia39_utt0,train,anger
dia39_utt1,train,anger
dia39_utt2,train,surprise
dia39_utt3,train,anger
dia39_utt4,train,anger
dia39_utt5,train,anger
dia39_utt6,train,anger
dia39_utt7,train,joy
dia39_utt8,train,neutral
dia39_utt9,train,neutral
dia39_utt10,train,disgust
dia39_utt11,train,neutral
dia39_utt12,train,neutral
dia39_utt13,train,neutral
dia39_utt14,train,neutral
dia39_utt15,train,anger
dia39_utt16,train,anger
dia39_utt17,train,anger
dia39_utt18,train,anger
dia40_utt0,train,anger
dia40_utt1,train,anger
dia40_utt2,train,neutral
dia40_utt3,train,neutral
dia40_utt4,train,neutral
dia40_utt5,train,neutral
dia40_utt6,train,joy
dia40_utt7,train,neutral
dia40_utt8,train,disgust
dia40_utt9,train,fear
dia40_utt10,train,neutral
dia40_utt11,train,surprise
dia40_utt12,train,joy
dia40_utt13,train,sadness
dia40_utt14,train,sadness
dia41_utt0,train,sadness
dia41_utt1,train,surprise
dia41_utt2,train,neutral
dia41_utt3,train,neutral
dia41_utt4,train,neutral
dia41_utt5,train,surprise
dia41_utt6,train,neutral
dia41_utt7,train,neutral
dia41_utt8,train,neutral
dia41_utt9,train,neutral
dia41_utt10,train,neutral
dia41_utt11,train,neutral
dia41_utt12,train,disgust
dia41_utt13,train,neutral
dia41_utt14,train,disgust
dia41_utt15,train,surprise
dia42_utt0,train,neutral
dia42_utt1,train,surprise
dia43_utt0,train,neutral
dia43_utt1,train,neutral
dia43_utt2,train,neutral
dia43_utt3,train,neutral
dia43_utt4,train,neutral
dia43_utt5,train,neutral
dia43_utt6,train,neutral
dia44_utt0,train,neutral
dia44_utt1,train,surprise
dia44_utt2,train,neutral
dia45_utt0,train,sadness
dia45_utt1,train,disgust
dia45_utt2,train,neutral
dia45_utt3,train,anger
dia45_utt4,train,neutral
dia46_utt0,train,joy
dia46_utt1,train,surprise
dia46_utt2,train,anger
dia46_utt3,train,surprise
dia46_utt4,train,neutral
dia46_utt5,train,neutral
dia46_utt6,train,anger
dia46_utt7,train,surprise
dia46_utt8,train,joy
dia46_utt9,train,joy
dia46_utt10,train,neutral
dia46_utt11,train,fear
dia46_utt12,train,joy
dia46_utt13,train,surprise
dia46_utt14,train,joy
dia47_utt0,train,neutral
dia47_utt1,train,neutral
dia47_utt2,train,neutral
dia47_utt3,train,neutral
dia47_utt4,train,neutral
dia47_utt5,train,neutral
dia47_utt6,train,neutral
dia47_utt7,train,joy
dia47_utt8,train,neutral
dia47_utt9,train,neutral
dia47_utt11,train,surprise
dia47_utt12,train,neutral
dia47_utt13,train,surprise
dia47_utt14,train,neutral
dia47_utt15,train,joy
dia47_utt16,train,joy
dia47_utt17,train,neutral
dia48_utt0,train,neutral
dia49_utt0,train,neutral
dia49_utt1,train,neutral
dia49_utt2,train,anger
dia49_utt3,train,joy
dia49_utt4,train,fear
dia49_utt5,train,neutral
dia49_utt6,train,neutral
dia49_utt7,train,neutral
dia49_utt8,train,neutral
dia49_utt9,train,joy
dia49_utt10,train,neutral
dia49_utt11,train,neutral
dia49_utt12,train,sadness
dia49_utt13,train,surprise
dia49_utt14,train,neutral
dia49_utt15,train,surprise
dia49_utt16,train,neutral
dia49_utt17,train,neutral
dia49_utt18,train,surprise
dia49_utt19,train,neutral
dia49_utt20,train,surprise
dia49_utt21,train,anger
dia50_utt0,train,joy
dia50_utt1,train,anger
dia50_utt2,train,surprise
dia50_utt3,train,neutral
dia50_utt4,train,neutral
dia50_utt5,train,fear
dia50_utt6,train,fear
dia50_utt7,train,sadness
dia50_utt8,train,joy
dia50_utt9,train,surprise
dia50_utt10,train,surprise
dia50_utt11,train,neutral
dia50_utt12,train,neutral
dia50_utt13,train,anger
dia50_utt14,train,surprise
dia50_utt15,train,anger
dia50_utt16,train,neutral
dia51_utt0,train,neutral
dia51_utt1,train,sadness
dia51_utt2,train,neutral
dia51_utt3,train,disgust
dia51_utt4,train,anger
dia51_utt5,train,anger
dia51_utt6,train,anger
dia51_utt7,train,anger
dia51_utt8,train,anger
dia51_utt9,train,anger
dia51_utt10,train,anger
dia52_utt0,train,neutral
dia52_utt1,train,joy
dia52_utt2,train,neutral
dia52_utt3,train,neutral
dia52_utt4,train,neutral
dia52_utt5,train,neutral
dia52_utt6,train,neutral
dia52_utt7,train,neutral
dia52_utt8,train,neutral
dia52_utt9,train,neutral
dia52_utt10,train,neutral
dia52_utt11,train,neutral
dia53_utt0,train,joy
dia53_utt1,train,joy
dia53_utt2,train,neutral
dia53_utt3,train,neutral
dia53_utt4,train,neutral
dia53_utt5,train,neutral
dia53_utt6,train,joy
dia53_utt7,train,neutral
dia53_utt8,train,joy
dia54_utt0,train,disgust
dia54_utt1,train,sadness
dia54_utt2,train,anger
dia54_utt3,train,fear
dia54_utt4,train,fear
dia54_utt5,train,neutral
dia54_utt6,train,joy
dia54_utt7,train,anger
dia54_utt8,train,sadness
dia54_utt9,train,joy
dia54_utt10,train,neutral
dia54_utt11,train,neutral
dia54_utt12,train,fear
dia54_utt13,train,fear
dia54_utt14,train,sadness
dia54_utt15,train,sadness
dia54_utt16,train,sadness
dia54_utt17,train,joy
dia54_utt18,train,joy
dia54_utt19,train,joy
dia54_utt20,train,joy
dia54_utt21,train,neutral
dia54_utt22,train,joy
dia54_utt23,train,anger
dia55_utt0,train,joy
dia55_utt1,train,joy
dia55_utt2,train,neutral
dia55_utt3,train,surprise
dia55_utt4,train,neutral
dia55_utt5,train,joy
dia55_utt6,train,surprise
dia55_utt7,train,neutral
dia55_utt8,train,joy
dia55_utt9,train,joy
dia55_utt10,train,joy
dia55_utt11,train,joy
dia55_utt12,train,joy
dia55_utt13,train,joy
dia55_utt14,train,joy
dia55_utt15,train,joy
dia55_utt16,train,neutral
dia56_utt0,train,surprise
dia56_utt1,train,neutral
dia56_utt2,train,surprise
dia56_utt3,train,neutral
dia56_utt4,train,neutral
dia56_utt5,train,neutral
dia56_utt6,train,joy
dia57_utt1,train,neutral
dia57_utt2,train,fear
dia57_utt3,train,fear
dia58_utt0,train,neutral
dia58_utt1,train,neutral
dia58_utt2,train,surprise
dia58_utt3,train,neutral
dia58_utt4,train,anger
dia58_utt5,train,surprise
dia58_utt6,train,neutral
dia58_utt7,train,neutral
dia58_utt8,train,neutral
dia58_utt9,train,neutral
dia59_utt0,train,neutral
dia59_utt1,train,joy
dia59_utt2,train,neutral
dia59_utt3,train,joy
dia59_utt4,train,joy
dia59_utt5,train,joy
dia59_utt6,train,joy
dia59_utt7,train,joy
dia59_utt8,train,joy
dia59_utt9,train,joy
dia61_utt0,train,neutral
dia61_utt1,train,joy
dia61_utt2,train,joy
dia61_utt3,train,neutral
dia61_utt4,train,neutral
dia61_utt5,train,sadness
dia61_utt6,train,joy
dia61_utt7,train,sadness
dia61_utt8,train,joy
dia62_utt0,train,neutral
dia62_utt1,train,joy
dia62_utt2,train,neutral
dia62_utt3,train,joy
dia62_utt5,train,joy
dia62_utt6,train,neutral
dia62_utt7,train,neutral
dia62_utt8,train,neutral
dia62_utt9,train,surprise
dia62_utt10,train,surprise
dia62_utt11,train,neutral
dia63_utt0,train,joy
dia63_utt1,train,neutral
dia63_utt2,train,joy
dia63_utt3,train,surprise
dia63_utt4,train,joy
dia63_utt5,train,anger
dia63_utt6,train,neutral
dia63_utt7,train,sadness
dia64_utt0,train,anger
dia64_utt1,train,neutral
dia64_utt2,train,neutral
dia64_utt3,train,neutral
dia64_utt4,train,neutral
dia64_utt5,train,joy
dia64_utt6,train,neutral
dia64_utt7,train,joy
dia64_utt8,train,joy
dia64_utt9,train,anger
dia64_utt10,train,neutral
dia64_utt11,train,anger
dia64_utt12,train,neutral
dia65_utt0,train,joy
dia65_utt1,train,surprise
dia65_utt2,train,neutral
dia65_utt3,train,joy
dia66_utt1,train,neutral
dia66_utt2,train,neutral
dia66_utt3,train,neutral
dia66_utt4,train,neutral
dia66_utt5,train,surprise
dia66_utt6,train,neutral
dia66_utt7,train,neutral
dia66_utt8,train,sadness
dia66_utt9,train,joy
dia66_utt10,train,joy
dia66_utt11,train,sadness
dia66_utt12,train,neutral
dia67_utt0,train,surprise
dia67_utt1,train,neutral
dia67_utt2,train,joy
dia67_utt3,train,neutral
dia67_utt5,train,joy
dia67_utt6,train,sadness
dia67_utt7,train,joy
dia67_utt8,train,joy
dia67_utt9,train,neutral
dia67_utt10,train,joy
dia67_utt11,train,joy
dia67_utt12,train,neutral
dia67_utt13,train,neutral
dia67_utt14,train,neutral
dia67_utt15,train,anger
dia68_utt0,train,anger
dia68_utt1,train,joy
dia68_utt2,train,neutral
dia68_utt3,train,surprise
dia69_utt0,train,joy
dia69_utt1,train,neutral
dia69_utt2,train,neutral
dia69_utt3,train,surprise
dia69_utt4,train,sadness
dia69_utt5,train,neutral
dia69_utt6,train,anger
dia70_utt0,train,joy
dia70_utt1,train,neutral
dia70_utt2,train,neutral
dia70_utt3,train,neutral
dia70_utt4,train,neutral
dia70_utt5,train,anger
dia70_utt6,train,neutral
dia70_utt7,train,anger
dia70_utt8,train,anger
dia71_utt0,train,neutral
dia71_utt1,train,neutral
dia72_utt0,train,neutral
dia72_utt1,train,surprise
dia72_utt2,train,neutral
dia72_utt3,train,surprise
dia72_utt4,train,neutral
dia72_utt5,train,neutral
dia72_utt6,train,neutral
dia72_utt7,train,neutral
dia73_utt0,train,neutral
dia73_utt1,train,joy
dia73_utt2,train,joy
dia73_utt3,train,neutral
dia73_utt4,train,neutral
dia73_utt5,train,neutral
dia73_utt6,train,surprise
dia73_utt7,train,neutral
dia73_utt8,train,neutral
dia73_utt9,train,neutral
dia73_utt10,train,surprise
dia73_utt11,train,neutral
dia74_utt0,train,joy
dia74_utt1,train,neutral
dia74_utt2,train,neutral
dia74_utt3,train,neutral
dia74_utt4,train,disgust
dia74_utt5,train,anger
dia74_utt6,train,anger
dia75_utt0,train,neutral
dia76_utt0,train,neutral
dia76_utt1,train,neutral
dia76_utt2,train,neutral
dia76_utt3,train,neutral
dia76_utt4,train,neutral
dia76_utt5,train,joy
dia76_utt6,train,joy
dia76_utt7,train,sadness
dia77_utt0,train,neutral
dia77_utt1,train,neutral
dia77_utt2,train,neutral
dia77_utt3,train,neutral
dia77_utt4,train,joy
dia78_utt0,train,joy
dia78_utt1,train,anger
dia78_utt2,train,anger
dia78_utt3,train,neutral
dia78_utt4,train,fear
dia78_utt5,train,surprise
dia79_utt0,train,neutral
dia79_utt1,train,disgust
dia79_utt2,train,joy
dia79_utt3,train,surprise
dia79_utt4,train,neutral
dia79_utt5,train,disgust
dia79_utt6,train,neutral
dia79_utt7,train,neutral
dia80_utt0,train,neutral
dia80_utt1,train,joy
dia80_utt2,train,surprise
dia80_utt3,train,neutral
dia80_utt4,train,neutral
dia80_utt5,train,neutral
dia81_utt0,train,neutral
dia81_utt1,train,neutral
dia81_utt2,train,neutral
dia81_utt3,train,joy
dia81_utt4,train,fear
dia81_utt5,train,neutral
dia81_utt6,train,joy
dia81_utt7,train,surprise
dia81_utt8,train,joy
dia81_utt9,train,neutral
dia81_utt10,train,neutral
dia81_utt11,train,anger
dia81_utt12,train,neutral
dia81_utt13,train,anger
dia81_utt14,train,anger
dia81_utt15,train,anger
dia81_utt16,train,surprise
dia82_utt0,train,neutral
dia82_utt1,train,neutral
dia82_utt2,train,anger
dia82_utt3,train,disgust
dia82_utt4,train,sadness
dia82_utt5,train,neutral
dia82_utt6,train,disgust
dia82_utt7,train,neutral
dia82_utt9,train,disgust
dia82_utt10,train,neutral
dia82_utt11,train,neutral
dia83_utt0,train,neutral
dia83_utt1,train,neutral
dia83_utt2,train,anger
dia83_utt3,train,neutral
dia84_utt0,train,fear
dia84_utt1,train,anger
dia84_utt2,train,anger
dia84_utt3,train,anger
dia84_utt4,train,neutral
dia84_utt5,train,neutral
dia84_utt6,train,sadness
dia85_utt0,train,neutral
dia85_utt1,train,neutral
dia85_utt2,train,neutral
dia85_utt3,train,neutral
dia85_utt4,train,neutral
dia86_utt0,train,neutral
dia86_utt1,train,neutral
dia86_utt2,train,surprise
dia86_utt3,train,neutral
dia86_utt4,train,neutral
dia86_utt5,train,surprise
dia86_utt6,train,neutral
dia86_utt7,train,neutral
dia86_utt8,train,neutral
dia86_utt9,train,neutral
dia86_utt10,train,joy
dia87_utt0,train,sadness
dia87_utt1,train,neutral
dia87_utt2,train,sadness
dia87_utt3,train,sadness
dia87_utt4,train,joy
dia87_utt5,train,neutral
dia87_utt6,train,neutral
dia87_utt7,train,joy
dia87_utt8,train,joy
dia87_utt9,train,joy
dia88_utt0,train,neutral
dia88_utt1,train,joy
dia88_utt2,train,neutral
dia88_utt3,train,neutral
dia89_utt0,train,anger
dia89_utt1,train,neutral
dia89_utt2,train,joy
dia89_utt4,train,neutral
dia89_utt5,train,neutral
dia89_utt6,train,joy
dia89_utt7,train,joy
dia89_utt8,train,neutral
dia89_utt9,train,anger
dia89_utt10,train,surprise
dia89_utt11,train,anger
dia89_utt12,train,disgust
dia89_utt15,train,neutral
dia89_utt16,train,joy
dia90_utt0,train,surprise
dia91_utt0,train,anger
dia92_utt0,train,anger
dia92_utt1,train,neutral
dia93_utt0,train,neutral
dia93_utt1,train,neutral
dia93_utt2,train,neutral
dia93_utt3,train,surprise
dia93_utt4,train,neutral
dia93_utt5,train,surprise
dia93_utt6,train,disgust
dia93_utt7,train,surprise
dia94_utt0,train,neutral
dia94_utt1,train,neutral
dia94_utt2,train,fear
dia94_utt3,train,neutral
dia94_utt4,train,disgust
dia94_utt5,train,fear
dia94_utt6,train,anger
dia94_utt7,train,sadness
dia94_utt8,train,neutral
dia94_utt9,train,neutral
dia94_utt10,train,joy
dia94_utt11,train,joy
dia94_utt12,train,neutral
dia94_utt13,train,joy
dia94_utt14,train,neutral
dia94_utt15,train,joy
dia95_utt0,train,joy
dia95_utt1,train,surprise
dia95_utt2,train,neutral
dia95_utt3,train,neutral
dia95_utt4,train,joy
dia95_utt5,train,joy
dia95_utt6,train,surprise
dia95_utt7,train,surprise
dia95_utt8,train,anger
dia95_utt9,train,neutral
dia95_utt10,train,neutral
dia95_utt11,train,neutral
dia95_utt12,train,surprise
dia95_utt13,train,neutral
dia95_utt14,train,neutral
dia95_utt15,train,neutral
dia95_utt16,train,neutral
dia95_utt17,train,neutral
dia96_utt0,train,neutral
dia96_utt1,train,neutral
dia96_utt2,train,neutral
dia96_utt3,train,neutral
dia96_utt4,train,neutral
dia97_utt0,train,neutral
dia97_utt1,train,neutral
dia97_utt2,train,neutral
dia97_utt3,train,anger
dia98_utt1,train,neutral
dia99_utt0,train,joy
dia99_utt1,train,joy
dia99_utt2,train,joy
dia99_utt3,train,joy
dia99_utt4,train,neutral
dia99_utt5,train,fear
dia99_utt6,train,neutral
dia99_utt7,train,anger
dia99_utt8,train,joy
dia99_utt9,train,neutral
dia99_utt10,train,neutral
dia99_utt11,train,anger
dia99_utt12,train,neutral
dia99_utt13,train,joy
dia99_utt14,train,neutral
dia99_utt15,train,neutral
dia99_utt16,train,neutral
dia99_utt17,train,anger
dia99_utt18,train,neutral
dia100_utt0,train,neutral
dia100_utt1,train,neutral
dia100_utt2,train,neutral
dia100_utt3,train,fear
dia100_utt4,train,neutral
dia100_utt5,train,neutral
dia100_utt6,train,neutral
dia100_utt7,train,surprise
dia101_utt0,train,neutral
dia101_utt1,train,surprise
dia102_utt0,train,neutral
dia102_utt1,train,neutral
dia102_utt2,train,neutral
dia103_utt0,train,joy
dia103_utt1,train,neutral
dia103_utt2,train,surprise
dia103_utt3,train,joy
dia103_utt4,train,neutral
dia103_utt5,train,neutral
dia103_utt6,train,joy
dia103_utt7,train,joy
dia104_utt0,train,surprise
dia104_utt1,train,joy
dia105_utt0,train,fear
dia105_utt1,train,surprise
dia106_utt0,train,neutral
dia106_utt1,train,surprise
dia106_utt2,train,neutral
dia106_utt3,train,neutral
dia106_utt4,train,neutral
dia106_utt5,train,fear
dia107_utt0,train,neutral
dia107_utt1,train,neutral
dia107_utt2,train,neutral
dia107_utt4,train,neutral
dia107_utt5,train,joy
dia107_utt6,train,neutral
dia107_utt7,train,neutral
dia107_utt8,train,neutral
dia107_utt9,train,neutral
dia107_utt10,train,neutral
dia108_utt0,train,neutral
dia108_utt1,train,neutral
dia108_utt2,train,joy
dia108_utt3,train,neutral
dia108_utt4,train,joy
dia108_utt5,train,neutral
dia108_utt6,train,neutral
dia109_utt0,train,neutral
dia109_utt1,train,disgust
dia109_utt3,train,anger
dia109_utt4,train,joy
dia109_utt5,train,joy
dia109_utt6,train,sadness
dia109_utt7,train,sadness
dia109_utt8,train,sadness
dia109_utt9,train,joy
dia109_utt10,train,neutral
dia109_utt11,train,neutral
dia109_utt12,train,neutral
dia109_utt13,train,neutral
dia109_utt14,train,neutral
dia109_utt15,train,anger
dia109_utt16,train,fear
dia109_utt17,train,fear
dia109_utt18,train,fear
dia109_utt19,train,surprise
dia109_utt20,train,anger
dia109_utt21,train,joy
dia110_utt0,train,neutral
dia110_utt1,train,surprise
dia110_utt2,train,surprise
dia110_utt3,train,anger
dia110_utt4,train,neutral
